,Start,Number of Entries
0,2023-02-01 00:00:00,27
1,2023-02-03 00:00:00,29
2,2023-02-05 00:00:00,29
3,2023-02-07 00:00:00,29
4,2023-02-10 00:00:00,27
5,2023-02-13 00:00:00,23
6,2023-02-15 00:00:00,23
7,2023-02-17 06:00:00,24
8,2023-02-20 00:00:00,29
9,2023-02-22 00:00:00,29
10,2023-02-25 00:00:00,28
11,2023-02-27 00:00:00,27
12,2023-03-01 00:00:00,27
13,2023-03-02 00:00:00,27
14,2023-03-03 00:00:00,27
15,2023-03-07 00:00:00,23
16,2023-03-10 00:00:00,23
17,2023-03-13 12:00:00,27
18,2023-03-15 00:00:00,29
19,2023-03-17 00:00:00,27
20,2023-03-19 00:00:00,27
21,2023-03-22 00:00:00,27
22,2023-03-25 00:00:00,29
23,2023-03-28 00:00:00,29
24,2023-03-30 00:00:00,29
25,2023-04-03 00:00:00,28
26,2023-04-05 00:00:00,27
27,2023-04-08 00:00:00,25
28,2023-04-10 12:00:00,17
29,2023-04-13 00:00:00,18
30,2023-04-17 12:00:00,19
31,2023-04-18 00:00:00,29
32,2023-04-20 00:00:00,29
33,2023-04-23 00:00:00,25
34,2023-04-25 00:00:00,17
35,2023-04-28 00:00:00,16
36,2023-05-02 12:00:00,19
37,2023-05-03 00:00:00,25
38,2023-05-05 00:00:00,25
39,2023-05-08 00:00:00,27
40,2023-05-10 00:00:00,29
41,2023-05-13 00:00:00,29
42,2023-05-15 00:00:00,22
43,2023-05-18 00:00:00,10
44,2023-05-20 00:00:00,4
45,2023-05-26 18:00:00,22
46,2023-05-28 00:00:00,27
47,2023-05-30 00:00:00,22
48,2023-06-03 00:00:00,18
49,2023-06-05 12:00:00,23
50,2023-06-08 00:00:00,23
51,2023-06-10 00:00:00,27
52,2023-06-13 00:00:00,27
53,2023-06-15 00:00:00,29
54,2023-06-18 00:00:00,29
55,2023-06-20 00:00:00,29
56,2023-06-23 00:00:00,29
57,2023-06-25 00:00:00,27
58,2023-06-28 00:00:00,24
59,2023-06-30 00:00:00,24
