forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2024-04-13,t2m,0 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,6 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,12 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,18 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,24 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,30 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,36 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,42 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,48 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,54 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,60 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,66 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,72 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,78 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,84 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,90 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,96 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,102 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,108 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,114 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,120 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,126 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,132 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,138 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,144 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,150 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,156 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,162 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
2024-04-13,t2m,168 hour,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045,13.200000000000045
